task_id,worker_cap,stage,observed_sec,estimated_sec,call_sum_sec,noncall_overhead_sec,attempt_count,max_same_depth_modules
devs_gen-llama-ABP-run_01,1,full_generation,338.84,338.84,,,2,4
devs_gen-llama-ABP-run_01,2,1,200.0,192.094,197.957,2.043,2,4
devs_gen-llama-ABP-run_01,2,2,86.1,58.583,86.038,0.062,2,4
devs_gen-llama-ABP-run_01,2,full_generation,338.84,303.417,,,2,4
devs_gen-llama-ABP-run_01,4,1,200.0,188.241,197.957,2.043,2,4
devs_gen-llama-ABP-run_01,4,2,86.1,44.518,86.038,0.062,2,4
devs_gen-llama-ABP-run_01,4,full_generation,338.84,285.499,,,2,4
devs_gen-llama-ABP-run_01,8,1,200.0,188.241,197.957,2.043,2,4
devs_gen-llama-ABP-run_01,8,2,86.1,44.518,86.038,0.062,2,4
devs_gen-llama-ABP-run_01,8,full_generation,338.84,285.499,,,2,4
devs_gen-llama-SA-run_01,1,1,348.1,348.1,346.041,2.059,2,5
devs_gen-llama-SA-run_01,1,2,375.2,375.2,375.073,0.127,2,5
devs_gen-llama-SA-run_01,1,full_generation,934.92,934.92,,,2,5
devs_gen-llama-SA-run_01,2,1,348.1,338.826,346.041,2.059,2,5
devs_gen-llama-SA-run_01,2,2,375.2,295.232,375.073,0.127,2,5
devs_gen-llama-SA-run_01,2,full_generation,934.92,845.678,,,2,5
devs_gen-llama-SA-run_01,4,1,348.1,335.319,346.041,2.059,2,5
devs_gen-llama-SA-run_01,4,2,375.2,295.232,375.073,0.127,2,5
devs_gen-llama-SA-run_01,4,full_generation,934.92,842.171,,,2,5
devs_gen-llama-SA-run_01,8,1,348.1,335.319,346.041,2.059,2,5
devs_gen-llama-SA-run_01,8,2,375.2,295.232,375.073,0.127,2,5
devs_gen-llama-SA-run_01,8,full_generation,934.92,842.171,,,2,5
devs_gen-llama-barbershop-run_01,1,1,77.0,77.0,76.989,0.011,3,3
devs_gen-llama-barbershop-run_01,1,2,41.3,41.3,41.255,0.045,3,3
devs_gen-llama-barbershop-run_01,1,full_generation,141.42,141.42,,,3,3
devs_gen-llama-barbershop-run_01,2,1,77.0,73.575,76.989,0.011,3,3
devs_gen-llama-barbershop-run_01,2,2,41.3,30.906,41.255,0.045,3,3
devs_gen-llama-barbershop-run_01,2,full_generation,141.42,127.601,,,3,3
devs_gen-llama-barbershop-run_01,4,1,77.0,71.613,76.989,0.011,3,3
devs_gen-llama-barbershop-run_01,4,2,41.3,22.613,41.255,0.045,3,3
devs_gen-llama-barbershop-run_01,4,full_generation,141.42,117.346,,,3,3
devs_gen-llama-barbershop-run_01,8,1,77.0,71.613,76.989,0.011,3,3
devs_gen-llama-barbershop-run_01,8,2,41.3,22.613,41.255,0.045,3,3
devs_gen-llama-barbershop-run_01,8,full_generation,141.42,117.346,,,3,3
devs_gen-llama-SEIRD-run_01,1,1,73.1,73.1,73.118,-0.018,3,1
devs_gen-llama-SEIRD-run_01,1,2,44.3,44.3,44.297,0.003,3,1
devs_gen-llama-SEIRD-run_01,1,full_generation,147.82,147.82,,,3,1
devs_gen-llama-SEIRD-run_01,2,1,73.1,73.1,73.118,-0.018,3,1
devs_gen-llama-SEIRD-run_01,2,2,44.3,44.3,44.297,0.003,3,1
devs_gen-llama-SEIRD-run_01,2,full_generation,147.82,147.82,,,3,1
devs_gen-llama-SEIRD-run_01,4,1,73.1,73.1,73.118,-0.018,3,1
devs_gen-llama-SEIRD-run_01,4,2,44.3,44.3,44.297,0.003,3,1
devs_gen-llama-SEIRD-run_01,4,full_generation,147.82,147.82,,,3,1
devs_gen-llama-SEIRD-run_01,8,1,73.1,73.1,73.118,-0.018,3,1
devs_gen-llama-SEIRD-run_01,8,2,44.3,44.3,44.297,0.003,3,1
devs_gen-llama-SEIRD-run_01,8,full_generation,147.82,147.82,,,3,1
devs_gen-llama-OTrain-run_01,1,1,175.4,175.4,175.332,0.068,2,5
devs_gen-llama-OTrain-run_01,1,2,53.6,53.6,53.496,0.104,2,5
devs_gen-llama-OTrain-run_01,1,full_generation,242.96,242.96,,,2,5
devs_gen-llama-OTrain-run_01,2,1,175.4,166.97,175.332,0.068,2,5
devs_gen-llama-OTrain-run_01,2,2,53.6,32.465,53.496,0.104,2,5
devs_gen-llama-OTrain-run_01,2,full_generation,242.96,213.395,,,2,5
devs_gen-llama-OTrain-run_01,4,1,175.4,164.977,175.332,0.068,2,5
devs_gen-llama-OTrain-run_01,4,2,53.6,23.802,53.496,0.104,2,5
devs_gen-llama-OTrain-run_01,4,full_generation,242.96,202.739,,,2,5
devs_gen-llama-OTrain-run_01,8,1,175.4,164.977,175.332,0.068,2,5
devs_gen-llama-OTrain-run_01,8,2,53.6,23.802,53.496,0.104,2,5
devs_gen-llama-OTrain-run_01,8,full_generation,242.96,202.739,,,2,5
