task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
devs_gen-llama-IOBS-run_02,devs_gen,llama,IOBS,run_02,generated/devs_gen/llama/IOBS/run_02,0,0.0,0.0,421.042,155341
devs_gen-llama-IOBS-run_03,devs_gen,llama,IOBS,run_03,generated/devs_gen/llama/IOBS/run_03,1,1.0,0.5312202380952381,219.226,157104
devs_gen-llama-OTrain-run_01,devs_gen,llama,OTrain,run_01,generated/devs_gen/llama/OTrain/run_01,0,0.0,0.0,202.739,128798
devs_gen-llama-OTrain-run_02,devs_gen,llama,OTrain,run_02,generated/devs_gen/llama/OTrain/run_02,0,0.0,0.0,214.896,119830
devs_gen-llama-OTrain-run_03,devs_gen,llama,OTrain,run_03,generated/devs_gen/llama/OTrain/run_03,0,0.0,0.0,355.378,133164
devs_gen-llama-SA-run_01,devs_gen,llama,SA,run_01,generated/devs_gen/llama/SA/run_01,0,0.0,0.0,842.171,238573
devs_gen-llama-SA-run_02,devs_gen,llama,SA,run_02,generated/devs_gen/llama/SA/run_02,0,0.0,0.0,295.384,179560
devs_gen-llama-SA-run_03,devs_gen,llama,SA,run_03,generated/devs_gen/llama/SA/run_03,0,0.0,0.0,230.814,159405
devs_gen-llama-SAA-run_01,devs_gen,llama,SAA,run_01,generated/devs_gen/llama/SAA/run_01,0,0.0,0.0,285.979,124953
devs_gen-llama-SAA-run_02,devs_gen,llama,SAA,run_02,,0,0,0,,
devs_gen-llama-SAA-run_03,devs_gen,llama,SAA,run_03,,0,0,0,,
devs_gen-llama-SEIRD-run_01,devs_gen,llama,SEIRD,run_01,generated/devs_gen/llama/SEIRD/run_01,0,0.0,0.0,147.82,54661
devs_gen-llama-SEIRD-run_02,devs_gen,llama,SEIRD,run_02,generated/devs_gen/llama/SEIRD/run_02,0,0.0,0.0,136.24,51048
devs_gen-llama-SEIRD-run_03,devs_gen,llama,SEIRD,run_03,generated/devs_gen/llama/SEIRD/run_03,0,0.0,0.0,151.3,60548
devs_gen-llama-StoreCashier-run_01,devs_gen,llama,StoreCashier,run_01,generated/devs_gen/llama/StoreCashier/run_01,0,0.0,0.0,268.595,114140
devs_gen-llama-StoreCashier-run_02,devs_gen,llama,StoreCashier,run_02,,0,0,0,,
devs_gen-llama-StoreCashier-run_03,devs_gen,llama,StoreCashier,run_03,generated/devs_gen/llama/StoreCashier/run_03,0,0.0,0.0,374.897,121571
devs_gen-llama-barbershop-run_01,devs_gen,llama,barbershop,run_01,generated/devs_gen/llama/barbershop/run_01,0,0.0,0.0,117.346,80348
devs_gen-llama-barbershop-run_02,devs_gen,llama,barbershop,run_02,generated/devs_gen/llama/barbershop/run_02,0,0.0,0.0,140.204,85709
devs_gen-llama-barbershop-run_03,devs_gen,llama,barbershop,run_03,,0,0,0,,
devs_gen-llama-oft-run_01,devs_gen,llama,oft,run_01,generated/devs_gen/llama/oft/run_01,0,0.0,0.0,363.346,181477
devs_gen-llama-oft-run_02,devs_gen,llama,oft,run_02,,0,0,0,,
devs_gen-llama-oft-run_03,devs_gen,llama,oft,run_03,generated/devs_gen/llama/oft/run_03,0,0.0,0.0,533.076,191125
devs_gen-qwen-ABP-run_01,devs_gen,qwen,ABP,run_01,generated/devs_gen/qwen/ABP/run_01,1,1.0,1.0,340.292,123052
devs_gen-qwen-ABP-run_02,devs_gen,qwen,ABP,run_02,generated/devs_gen/qwen/ABP/run_02,0,0.0,0.0,370.226,149823
devs_gen-qwen-ABP-run_03,devs_gen,qwen,ABP,run_03,generated/devs_gen/qwen/ABP/run_03,0,0.2222222222222222,0.2222222222222222,469.51,129752
devs_gen-qwen-HouseHeating-run_01,devs_gen,qwen,HouseHeating,run_01,generated/devs_gen/qwen/HouseHeating/run_01,1,1.0,0.9625052040802693,158.377,56005
devs_gen-qwen-HouseHeating-run_02,devs_gen,qwen,HouseHeating,run_02,generated/devs_gen/qwen/HouseHeating/run_02,1,1.0,0.9625052040802693,155.135,57513
devs_gen-qwen-HouseHeating-run_03,devs_gen,qwen,HouseHeating,run_03,generated/devs_gen/qwen/HouseHeating/run_03,1,1.0,0.9618259173275809,242.291,56413
devs_gen-qwen-IOBS-run_01,devs_gen,qwen,IOBS,run_01,generated/devs_gen/qwen/IOBS/run_01,1,1.0,0.5000535714285714,301.314,158406
devs_gen-qwen-IOBS-run_02,devs_gen,qwen,IOBS,run_02,generated/devs_gen/qwen/IOBS/run_02,1,1.0,0.3556162567909193,257.506,152739
devs_gen-qwen-IOBS-run_03,devs_gen,qwen,IOBS,run_03,generated/devs_gen/qwen/IOBS/run_03,0,0.0,0.0,555.08,176739
devs_gen-qwen-OTrain-run_01,devs_gen,qwen,OTrain,run_01,generated/devs_gen/qwen/OTrain/run_01,0,0.15384615384615385,0.12979216464936147,603.813,146169
devs_gen-qwen-OTrain-run_02,devs_gen,qwen,OTrain,run_02,generated/devs_gen/qwen/OTrain/run_02,0,0.0,0.0,307.927,126586
devs_gen-qwen-OTrain-run_03,devs_gen,qwen,OTrain,run_03,generated/devs_gen/qwen/OTrain/run_03,0,0.0,0.0,473.669,127614
devs_gen-qwen-SA-run_01,devs_gen,qwen,SA,run_01,generated/devs_gen/qwen/SA/run_01,0,0.0,0.0,598.897,175277
devs_gen-qwen-SA-run_02,devs_gen,qwen,SA,run_02,generated/devs_gen/qwen/SA/run_02,1,1.0,0.5225253764282614,381.069,164830
devs_gen-qwen-SA-run_03,devs_gen,qwen,SA,run_03,generated/devs_gen/qwen/SA/run_03,1,1.0,0.6298640534065273,636.713,175296
devs_gen-qwen-SAA-run_01,devs_gen,qwen,SAA,run_01,generated/devs_gen/qwen/SAA/run_01,1,1.0,0.6479166666666667,303.411,94834
devs_gen-qwen-SAA-run_02,devs_gen,qwen,SAA,run_02,generated/devs_gen/qwen/SAA/run_02,1,1.0,0.8520833333333333,287.078,101082
devs_gen-qwen-SAA-run_03,devs_gen,qwen,SAA,run_03,generated/devs_gen/qwen/SAA/run_03,1,1.0,0.6479166666666667,403.028,103217
devs_gen-qwen-SEIRD-run_01,devs_gen,qwen,SEIRD,run_01,generated/devs_gen/qwen/SEIRD/run_01,0,0.875,0.8748566401438607,259.18,61922
devs_gen-qwen-SEIRD-run_02,devs_gen,qwen,SEIRD,run_02,generated/devs_gen/qwen/SEIRD/run_02,0,0.875,0.8748566401438607,262.7,63452
devs_gen-qwen-SEIRD-run_03,devs_gen,qwen,SEIRD,run_03,generated/devs_gen/qwen/SEIRD/run_03,0,0.875,0.8748566401438607,382.67,68083
devs_gen-qwen-StoreCashier-run_01,devs_gen,qwen,StoreCashier,run_01,generated/devs_gen/qwen/StoreCashier/run_01,1,1.0,0.9879260858726613,411.376,116728
devs_gen-qwen-StoreCashier-run_02,devs_gen,qwen,StoreCashier,run_02,generated/devs_gen/qwen/StoreCashier/run_02,1,1.0,0.9854825468813395,673.966,143027
devs_gen-qwen-StoreCashier-run_03,devs_gen,qwen,StoreCashier,run_03,generated/devs_gen/qwen/StoreCashier/run_03,1,1.0,0.9871225127966599,506.271,117609
devs_gen-qwen-barbershop-run_01,devs_gen,qwen,barbershop,run_01,generated/devs_gen/qwen/barbershop/run_01,0,0.0,0.0,439.019,128107
devs_gen-qwen-barbershop-run_02,devs_gen,qwen,barbershop,run_02,generated/devs_gen/qwen/barbershop/run_02,0,0.0,0.0,316.676,120168
devs_gen-qwen-barbershop-run_03,devs_gen,qwen,barbershop,run_03,generated/devs_gen/qwen/barbershop/run_03,0,0.1111111111111111,0.1111111111111111,426.433,122601
devs_gen-qwen-oft-run_01,devs_gen,qwen,oft,run_01,generated/devs_gen/qwen/oft/run_01,1,1.0,0.5578332112917093,620.202,291732
devs_gen-qwen-oft-run_02,devs_gen,qwen,oft,run_02,generated/devs_gen/qwen/oft/run_02,0,0.18181818181818182,0.16666666666666669,474.682,274797
devs_gen-qwen-oft-run_03,devs_gen,qwen,oft,run_03,generated/devs_gen/qwen/oft/run_03,0,0.0,0.0,636.929,280141
openhands-glm-ABP-run_01,openhands,glm,ABP,run_01,generated/openhands/glm/ABP/run_01,1,1.0,0.9650605091996247,42.69,285505
openhands-glm-ABP-run_02,openhands,glm,ABP,run_02,generated/openhands/glm/ABP/run_02,1,1.0,0.9680383012118235,158.83,834980
openhands-glm-ABP-run_03,openhands,glm,ABP,run_03,generated/openhands/glm/ABP/run_03,1,1.0,0.852477169463322,109.87,568329
openhands-glm-HouseHeating-run_01,openhands,glm,HouseHeating,run_01,generated/openhands/glm/HouseHeating/run_01,1,1.0,1.0,56.78,145439
openhands-glm-HouseHeating-run_02,openhands,glm,HouseHeating,run_02,generated/openhands/glm/HouseHeating/run_02,1,1.0,0.9879427083333333,642.76,309269
openhands-glm-HouseHeating-run_03,openhands,glm,HouseHeating,run_03,generated/openhands/glm/HouseHeating/run_03,1,1.0,0.9879427083333333,815.85,1715432
openhands-glm-IOBS-run_01,openhands,glm,IOBS,run_01,generated/openhands/glm/IOBS/run_01,0,0.5,0.4455185406698564,21.32,82898
openhands-glm-IOBS-run_02,openhands,glm,IOBS,run_02,generated/openhands/glm/IOBS/run_02,0,0.5,0.4148683579629311,68.7,558150
openhands-glm-IOBS-run_03,openhands,glm,IOBS,run_03,generated/openhands/glm/IOBS/run_03,0,0.5,0.3902673251812823,365.4,472037
openhands-glm-OTrain-run_01,openhands,glm,OTrain,run_01,generated/openhands/glm/OTrain/run_01,1,1.0,0.9089551244718783,271.98,1721087
openhands-glm-OTrain-run_02,openhands,glm,OTrain,run_02,generated/openhands/glm/OTrain/run_02,1,1.0,0.9614704463034874,149.26,1121138
