task_id,method,model,scenario,run,generated_code,fully_operational,score_ope,score_beh,generation_time_sec,generation_tokens
single_simpy-llama-ABP-run_02,single_simpy,llama,ABP,run_02,generated/single_simpy/llama/ABP/run_02,0,0.0,0.0,38.43,0
single_simpy-llama-ABP-run_03,single_simpy,llama,ABP,run_03,generated/single_simpy/llama/ABP/run_03,0,0.0,0.0,48.68,0
single_simpy-llama-HouseHeating-run_01,single_simpy,llama,HouseHeating,run_01,generated/single_simpy/llama/HouseHeating/run_01,0,0.0,0.0,18.81,1879
single_simpy-llama-HouseHeating-run_02,single_simpy,llama,HouseHeating,run_02,generated/single_simpy/llama/HouseHeating/run_02,0,0.0,0.0,18.0,1903
single_simpy-llama-HouseHeating-run_03,single_simpy,llama,HouseHeating,run_03,generated/single_simpy/llama/HouseHeating/run_03,1,1.0,0.9605519306901712,15.3,1834
single_simpy-llama-IOBS-run_01,single_simpy,llama,IOBS,run_01,generated/single_simpy/llama/IOBS/run_01,0,0.0,0.0,41.04,0
single_simpy-llama-IOBS-run_02,single_simpy,llama,IOBS,run_02,generated/single_simpy/llama/IOBS/run_02,0,0.0,0.0,51.87,0
single_simpy-llama-IOBS-run_03,single_simpy,llama,IOBS,run_03,generated/single_simpy/llama/IOBS/run_03,0,0.0,0.0,53.92,0
single_simpy-llama-OTrain-run_01,single_simpy,llama,OTrain,run_01,generated/single_simpy/llama/OTrain/run_01,0,0.0,0.0,20.65,0
single_simpy-llama-OTrain-run_02,single_simpy,llama,OTrain,run_02,generated/single_simpy/llama/OTrain/run_02,0,0.0,0.0,21.68,0
single_simpy-llama-OTrain-run_03,single_simpy,llama,OTrain,run_03,generated/single_simpy/llama/OTrain/run_03,0,0.0,0.0,40.85,0
single_simpy-llama-SA-run_01,single_simpy,llama,SA,run_01,generated/single_simpy/llama/SA/run_01,0,0.0,0.0,27.06,0
single_simpy-llama-SA-run_02,single_simpy,llama,SA,run_02,generated/single_simpy/llama/SA/run_02,0,0.0,0.0,46.03,0
single_simpy-llama-SA-run_03,single_simpy,llama,SA,run_03,generated/single_simpy/llama/SA/run_03,0,0.0,0.0,29.9,0
single_simpy-llama-SAA-run_01,single_simpy,llama,SAA,run_01,generated/single_simpy/llama/SAA/run_01,0,0.0,0.0,20.62,2783
single_simpy-llama-SAA-run_02,single_simpy,llama,SAA,run_02,generated/single_simpy/llama/SAA/run_02,0,0.0,0.0,17.39,2549
single_simpy-llama-SAA-run_03,single_simpy,llama,SAA,run_03,generated/single_simpy/llama/SAA/run_03,0,0.0,0.0,18.26,2465
single_simpy-llama-SEIRD-run_01,single_simpy,llama,SEIRD,run_01,generated/single_simpy/llama/SEIRD/run_01,0,0.0,0.0,17.19,0
single_simpy-llama-SEIRD-run_02,single_simpy,llama,SEIRD,run_02,generated/single_simpy/llama/SEIRD/run_02,0,0.0,0.0,17.32,0
